ons_id,party_name,firstname,surname,votes,share,change
W07000049,Labour,Stephen,Kinnock,15416,0.489039749,-0.030147537
W07000049,UK Independence Party,Peter,Bush,4971,0.157694382,0.141898788
W07000049,Conservative,Edward,Yi He,3742,0.118706976,-0.023776389
W07000049,Plaid Cymru,Duncan,Higgitt,3663,0.116200869,0.045201451
W07000049,Liberal Democrat,Helen,Clarke,1397,0.044316848,-0.118290556
W07000049,Independent,Captain,Beany,1137,0.036068902,
W07000049,Green,Jonathan,Tier,711,0.02255496,
W07000049,Socialist Labour Party,Andrew,Jordan,352,0.01116645,
W07000049,Trade Unionist and Socialist Coalition,Owen,Herbert,134,0.004250864,
W07000058,Conservative,Guto,Bebb,12513,0.415052408,0.056846441
W07000058,Labour,Mary,Wimbury,8514,0.282406793,0.037596008
W07000058,Plaid Cymru,Dafydd,Meurig,3536,0.117288046,-0.060947288
W07000058,UK Independence Party,Andrew,Haigh,3467,0.114999337,0.093908767
W07000058,Liberal Democrat,Victor,Babu,1391,0.046139047,-0.14694645
W07000058,Green,Petra,Haig,727,0.024114369,
S14000001,Scottish National Party,Kirsty,Blackman,24793,0.56429807,0.341890176
S14000001,Labour and Co-operative,Richard,Baker,11397,0.259400036,-0.184779163
S14000001,Conservative,Sanjoy,Sen,5304,0.120721049,-0.003042247
S14000001,Liberal Democrat,Euan,Davidson,2050,0.046658776,-0.139039216
S14000001,Trade Unionist and Socialist Coalition,Tyrinne,Rutherford,206,0.004688638,
S14000001,National Front,Christopher,Willett,186,0.00423343,
S14000002,Scottish National Party,Callum,McCaig,20221,0.416489877,0.297932457
S14000002,Labour,Anne,Begg,12991,0.267574303,-0.097764731
S14000002,Conservative,Ross,Thomson,11087,0.228357809,0.021219268
S14000002,Liberal Democrat,Dennis,Rixson,2252,0.046384215,-0.237484355
S14000002,Green,Dan,Yeats,964,0.01985541,0.010258347
S14000002,UK Independence Party,Sandra,Skinner,897,0.018475418,
S14000002,Independent,Christopher,Gray,139,0.002862969,
S14000003,Scottish National Party,Neil,Gray,23887,0.539380391,0.303920546
S14000003,Labour,Pamela,Nash,15108,0.341146186,-0.240432101
S14000003,Conservative,Eric,Holford,3389,0.076525313,-0.010869036
S14000003,UK Independence Party,Matt,Williams,1088,0.024567583,
S14000003,Liberal Democrat,John,Love,678,0.015309579,-0.065529496
S14000003,Independent,Deryck,Beaumont,136,0.003070948,
E14000530,Conservative,Gerald,Howarth,23369,0.505921067,0.038729986
E14000530,Labour,Gary,Puffett,8468,0.183325756,0.062380048
E14000530,UK Independence Party,Bill,Walker,8253,0.17867117,0.133699373
E14000530,Liberal Democrat,Alan,Hilliar,4076,0.088242298,-0.255865757
E14000530,Green,Carl,Hewitt,2025,0.043839709,
E14000531,Conservative,Wendy,Morton,20558,0.520495227,-0.072583408
E14000531,Labour,John,Fisher,8835,0.223687875,0.025753413
E14000531,UK Independence Party,Anthony,Thompson,7751,0.196242753,
E14000531,Liberal Democrat,Ian,Garrett,1330,0.033673444,-0.143191494
E14000531,Green,Martyn,Curzey,826,0.020912981,-0.001010713
E14000531,Monster Raving Loony Party,Mark,Beech,197,0.004987721,
E14000532,Conservative,Graham,Brady,26771,0.529940416,0.040478347
E14000532,Labour,James,Wright,13481,0.266860661,0.042679097
